t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
0.7487561,0.53979355,1.1983538,5.3672895,2.1226685,2.4165974,3.1182117,0.8211367,1.809335,0.39376724
0.1918585,2.530718,2.0078907,0.7673544,2.5371943,1.68331,0.2667251,1.793442,2.8212287,3.0688019
2.5931768,1.8428729,0.0563254,1.1625321,0.80626595,1.7465684,1.351399,2.390057,3.585126,1.1608045
4.423494,1.453887,0.6237379,0.16962501,1.0324638,2.4798322,4.880364,7.688145,2.063509,1.5047045
2.1181579,0.32433885,2.417057,2.1189938,0.71722347,2.7142072,1.3559815,2.703967,2.2446475,4.237044
0.9937581,4.443199,1.2783275,0.6249588,3.804532,3.7700372,3.0936635,0.5037918,1.1290773,6.254735
3.932993,1.3105443,2.005169,4.0650525,3.1213622,0.75594735,8.2429495,0.056430012,1.8270217,3.6969728
5.557282,4.59429,0.8577292,0.03113557,8.793532,2.6482024,5.043875,4.707915,3.5698643,7.1156287
5.135153,0.76804245,2.780144,6.1851454,0.11607684,0.03810412,0.7570574,1.7626851,1.0686547,3.3777418
1.5998616,1.3718296,1.9691616,1.8054078,0.092263,0.75822294,1.4402566,1.2551957,0.028423933,2.7172856
0.45445633,2.5682313,2.5399666,2.362771,0.38674712,4.296017,2.925541,1.5457449,1.2398252,6.517549
0.08713686,0.35400447,0.9565689,4.7146845,6.5969515,2.4174404,0.974946,4.330943,2.010646,4.1041574
2.8209279,1.9136095,1.1029818,0.8876349,0.6406402,1.1356118,1.2677108,5.751092,1.324265,4.1230803
0.69138455,3.7766733,7.2317085,3.1235929,2.7124343,0.51990163,0.7961019,3.0947633,1.683819,5.9031367
0.5106197,0.79368436,3.1623058,4.7187767,0.13928892,3.81485,2.2046852,4.366474,1.268793,3.6270168
0.35209262,0.54327506,4.0724726,4.503172,1.0109156,0.76794386,2.3026736,4.1960993,3.8538094,7.695862
4.099699,4.423954,3.0299542,5.3123784,6.455608,0.19539772,0.8851677,2.0639226,1.9206069,5.818821
0.51969284,0.07942398,2.868042,2.228174,0.7322198,0.6418034,1.5926065,0.54226214,4.2007217,0.86423296
1.6851583,0.41600347,0.7041465,5.093423,0.78651285,1.6192951,3.3854048,1.1572508,5.0768237,3.2109404
1.5989923,1.05407,4.3755064,2.983654,1.5569308,0.4063111,1.681407,2.716354,6.0550137,3.3662531
8.899302,1.5944848,0.31807524,1.7322857,6.876333,2.9436786,1.5587234,2.2864954,1.7095957,4.826501
2.0511682,1.807895,1.3969142,2.3428895,1.3267812,1.0447123,5.0679355,0.49238285,3.8092227,2.1578655
0.565526,6.3481045,1.3266114,3.0359125,5.460868,0.7346232,3.9620614,3.5678983,3.4378603,0.9637643
2.8333478,4.7278104,2.5484772,1.1240666,4.5737715,6.796097,4.219939,1.6100144,3.3008423,7.443101
3.548559,1.4922884,3.6691597,4.6549187,0.785156,3.2825508,0.45743725,3.0739388,2.464887,0.6652373
0.5345658,2.1411989,1.3870127,0.91419715,2.155719,3.1462364,1.8611673,0.6846491,5.5522447,4.099896
5.511167,0.9658681,0.695715,0.88899636,0.5647925,2.3601365,0.6411183,5.97071,2.5256014,3.998768
1.3086886,0.60121495,3.2199054,0.57474375,0.28497338,3.0658588,4.5537395,5.332354,0.3162195,0.45415258
3.1008554,7.0857897,1.8036137,3.0689843,2.5601375,0.3586104,0.5239469,2.303415,1.8145211,0.6517416
2.3231194,1.4255956,4.0964885,3.2501006,1.8090699,0.6037242,1.448616,4.8857985,3.7530794,1.1750191
1.7835963,1.3257697,0.48234138,3.0443797,2.6803334,0.573418,2.22121,4.8931065,0.3723502,10.305821
3.198421,3.148389,5.664091,0.5485296,3.804184,0.9263271,0.06813477,3.2046719,3.2015772,1.8904641
2.6354744,2.2570107,3.100915,0.6716367,0.8776618,0.022469565,2.9812546,0.25795567,0.41173762,0.79385006
0.6236342,4.58499,1.489965,2.019899,2.2517784,1.6318331,1.7496815,3.3311095,1.1425339,2.9179273
3.5238457,3.475873,1.5666227,0.17092155,4.592946,3.6411924,2.8516164,2.7639508,0.69779265,1.4562156
2.391527,3.9066482,1.1890221,7.1978683,5.1401796,1.3350204,1.0210686,3.2983112,0.79332286,5.066724
2.6868212,1.2711836,2.0908768,4.68128,6.3299546,3.3782094,1.2751747,2.7080543,1.8821573,3.6314812
1.2463342,0.3980776,1.6217797,3.7699335,1.8458023,5.4942474,5.349306,0.7009848,2.047708,1.7321627
4.3806434,2.160024,1.5802672,3.1793926,1.0455647,1.2266388,1.1502724,2.320755,5.8225675,3.6696782
1.4202417,2.2253814,4.199891,0.752054,0.31195503,1.5536022,4.734639,6.015361,1.3421669,4.428212
0.9367901,4.877106,0.96145535,0.18585747,2.6727142,2.2521524,3.6877255,3.937892,0.9441744,0.5582315
1.4718914,4.6770973,4.092148,2.730395,2.709181,4.4108253,6.513664,6.1042643,1.8253796,3.524972
1.0746868,4.969733,1.1334021,1.4871819,0.081303224,6.558428,0.07257824,3.9572816,2.5531328,2.6777303
2.2003608,3.4064648,4.1369877,1.269396,6.7468176,7.1398525,2.484241,0.29515785,3.2862632,0.18962458
3.4491477,3.997583,0.89794266,1.4129986,2.6310515,5.280342,1.6258469,1.0962625,1.2077627,2.3439145
2.9075437,4.363075,3.1105895,0.62984055,0.10827311,1.0488718,4.0889096,5.2924175,2.245085,2.153605
2.453147,1.0544525,3.9152002,2.452167,10.357004,2.3188305,1.5732398,1.4456174,4.538199,3.8044345
1.7571226,4.284389,1.1227847,4.8652563,6.3773823,0.006418087,0.44008374,1.4853996,0.42613995,3.6521451
2.5424726,3.8644516,4.0109677,2.636546,2.4559946,0.036250357,2.5337026,0.47078303,4.0260315,0.9937656
3.1219587,1.5220782,1.4869131,1.5034084,4.2988434,0.3127661,2.436453,2.43106,1.4576236,1.0240034
1.2304385,0.72445977,2.6494908,2.2457275,1.7213697,1.4714795,6.914353,1.8889534,1.6208827,5.3212934
5.594596,1.7083687,2.0923529,2.6841118,1.8704562,2.1666028,1.3224293,0.110737614,1.3389659,0.80560255
4.5141597,0.43842536,2.4372284,2.5462117,0.79460394,4.1870337,1.732012,0.22000396,2.169961,5.9246044
3.045278,2.941566,0.28528497,1.2563545,4.805682,7.5068083,1.7363548,2.1345155,0.84197485,0.030880872
4.8823595,1.9892002,1.9488707,0.2886489,4.223919,0.19602516,0.9668261,0.46611506,6.756172,6.8898573
0.30290776,5.2792573,5.3009953,4.7348833,0.42982566,0.39676684,1.8057902,7.0165815,3.2178576,5.175329
5.7462397,3.8574715,2.6907446,2.1590834,2.3078012,4.4151206,2.05651,1.8473303,0.8337917,5.518775
1.8776021,9.032797,0.56694627,3.5311546,1.0451146,0.79860556,0.8248896,1.4944404,10.512032,2.5055268
1.4276448,1.6030321,5.8940864,1.5863246,2.709802,4.4067965,4.6149898,2.3562427,8.065587,0.3206174
2.5345213,0.6339824,3.3885493,8.435737,5.225387,0.12829763,0.52031493,0.23830381,0.78232944,0.5394015
1.7515858,3.7703168,1.4813416,8.090363,2.0155172,6.0173016,3.755428,1.1912744,1.1252646,0.98096776
1.4912927,0.056602918,4.506743,6.36623,0.97971207,0.8391929,1.6308305,0.4457487,0.58746445,6.504361
0.05918599,0.08622284,2.4660392,2.9967475,5.112859,4.809476,6.481745,3.1629288,1.2911246,1.2056463
0.6191176,0.39965063,0.54785264,5.252936,2.0937243,0.23351976,2.8420918,3.685353,2.4721437,1.286742
2.353135,0.40867448,2.7431126,3.718647,2.632667,2.3794866,4.0481377,4.6664333,5.0887313,2.5454931
2.1755972,0.60387015,4.8955917,2.975229,2.45684,2.2537527,0.8231257,1.990876,1.0258532,2.664564
2.2927861,0.6717922,1.2081517,2.5975626,0.88425136,0.07330068,4.5931664,1.2515626,1.9124339,4.7866693
3.7982733,0.578821,6.3332615,2.9549298,3.7580752,0.5300124,1.0490572,2.264121,4.481854,2.5305283
0.02745042,4.502775,0.047394045,0.1450356,2.1314306,1.7180374,1.0362868,6.055006,0.11227448,4.8488884
1.2406492,4.444132,2.9405048,3.5352788,1.1640195,0.87659156,1.1460619,5.7771654,0.45406872,5.542624
0.43976575,4.7674265,2.4433281,2.9978802,1.2431118,0.39228213,0.41912672,1.2704407,4.5398955,1.22914
1.0185765,7.3872423,7.292778,1.5913062,1.9376804,2.7518244,0.9072076,2.4538598,3.989862,1.9636557
2.7100458,0.21891493,0.41728216,0.19073328,3.2517943,3.838986,4.5723405,3.7897618,3.7306547,3.3455524
0.031133825,2.7069163,1.5893476,3.109156,1.9222414,3.0727592,2.0068212,1.4189928,5.2772536,2.238391
3.5288022,1.8130513,2.1605034,2.1290526,4.9374275,2.6991425,5.015716,2.900261,3.8975792,0.49010223
3.0965028,0.9299346,4.636173,3.0603127,4.7350936,4.520932,4.0727844,0.58593255,3.0064006,0.70503855
5.486306,1.4821427,0.73778814,4.0461082,0.9852539,1.4544041,0.4135016,3.2351456,2.304178,0.31478077
1.916013,0.95953333,1.8867879,1.4434903,7.29971,2.5860243,0.04023219,8.635957,0.70858216,6.4592495
1.6654496,0.08367373,1.4455621,1.5614473,4.012374,2.1922512,0.8603788,2.6460783,0.0870474,5.484369
0.90680575,2.575611,2.7080271,1.4043452,1.2507446,2.6320403,2.4769793,0.8387779,2.2827735,0.91739
0.15993285,5.344038,1.7154577,2.9282565,0.9605854,1.660691,7.298812,2.5112598,2.6965935,1.7527689
1.112019,8.8347225,2.7656436,2.7647572,3.526876,1.2226055,0.7894628,0.45318022,0.2212753,0.21328528
1.2125018,3.4016898,4.7781467,0.3309116,0.65717864,0.9481192,0.07182342,5.924737,4.7858887,4.031283
4.1695786,2.650305,0.715611,0.9795642,2.1425314,0.5455351,6.003664,3.400804,3.7142024,5.642585
1.5502135,0.15725891,1.1777239,1.8539107,1.6912167,5.424781,5.3835983,2.401393,3.0970917,2.9345732
1.2351103,0.99220335,5.189355,0.23646504,4.5579395,2.6866012,0.014437851,0.44040567,3.0764816,4.623027
1.6650212,1.3470201,3.4353967,1.3217309,1.1202496,3.3956108,3.2510471,1.4864111,2.195432,0.52205914
3.120253,3.1692457,2.804337,1.7352916,2.7210524,3.1661963,2.7745655,4.030715,1.996063,2.3773503
4.497838,1.0303926,0.24069312,0.81692564,2.281546,1.79893,2.7801743,1.9196386,3.9279442,6.2859263
5.2850537,4.5245905,2.005271,4.748217,0.1196206,1.794605,1.1210276,6.580142,0.66213864,0.46681738
5.4731483,2.1648507,1.1475847,2.6958888,0.39544228,4.9932337,2.675489,4.837331,3.8997595,2.3689022
2.82991,0.37261927,3.4529986,0.3773393,0.029278323,3.5331008,4.5268598,1.7302744,2.5460956,1.3998861
4.8974485,0.48060495,7.004692,2.4314284,4.5180826,1.1586751,1.7762148,2.701879,0.563163,0.54623383
3.0908208,3.7175589,1.3872627,0.17559509,0.63908964,2.9360232,2.021614,0.81920505,1.2766635,0.41252667
3.3468013,1.6401055,4.09371,0.7321789,1.3266929,0.21340689,0.9225472,3.3018408,3.739658,1.0428519
3.5479145,1.871319,1.7975228,1.2741941,4.3921413,0.49540704,1.5422766,1.3814092,0.9956932,0.22024822
0.562798,1.3071437,2.5444477,2.6405873,2.8794231,6.714199,2.8942544,3.4106736,0.12959944,3.409686
1.8530653,4.6489935,3.0604882,0.013877628,2.2030613,0.005386727,0.19604346,0.59191287,2.5434701,8.37225
2.1965356,0.027140714,2.1657073,2.0703087,6.278349,0.6721932,0.9332503,0.9187966,0.3390674,1.5167129
0.2404414,5.0903764,2.3343563,2.8495574,2.693394,4.752162,0.1615945,0.40480644,2.1303594,4.5573187
0.5964593,4.7113976,2.4492927,2.5860403,3.4026933,1.6417708,0.84038955,7.280658,1.85129,3.8121967
1.8276424,1.0440042,0.21077788,1.8000863,1.3098055,3.4933681,0.11782345,1.3433836,0.08127109,3.2561324
4.0661955,0.3071125,1.1262637,0.4076485,4.364601,1.5353926,1.3302375,1.5245347,1.8409629,0.13235697
1.4296061,1.9213375,1.6757419,5.253907,2.1383395,2.893284,1.2264837,0.12539734,1.9193282,3.0372505
4.457301,0.6144376,2.7659957,3.2849903,0.5422175,2.5579374,3.9183233,3.0618474,1.5405648,2.5435429
0.79005915,0.01606568,4.586086,2.2248237,1.2076015,2.2962518,2.3629873,2.0145435,2.5890646,0.3140722
3.2775643,2.264954,1.1941041,5.0222635,2.1085384,1.8053315,5.117756,5.7670393,3.3585196,7.3735476
2.1429214,1.8421342,6.9297924,3.9868734,1.4078629,3.4162567,2.1530051,2.0830407,0.109547794,1.8933358
1.1232615,3.1569395,1.0145035,5.250614,0.08714253,7.4146113,0.6739864,1.3807865,3.545333,3.1659994
1.8710307,1.5583661,1.4116125,1.0134342,0.56222165,1.6732464,5.0328603,0.21409085,0.25664744,1.3739688
1.8340942,3.2510924,2.304488,0.9959413,4.268162,0.12781967,2.1794744,0.1631773,0.19204181,4.0607653
3.5733247,1.5474012,0.41245115,4.0362873,1.8305969,2.425962,1.6200109,0.60711884,7.2498364,2.721369
2.043451,0.029370263,5.2160125,2.1018145,1.0322582,7.358086,1.3538066,0.8337029,0.6833229,2.18902
0.13360107,0.48029363,0.2201196,0.17400794,3.5811374,5.76255,1.2333405,0.7623309,3.8511038,1.4278315
3.714435,3.532668,0.4422463,1.427824,0.25530007,6.038288,2.3069146,0.5826716,1.3034676,3.9052253
3.708046,0.6979872,0.34058374,3.0208018,5.4883556,0.4262412,0.047788695,5.1879883,1.4188669,5.261043
1.3763739,4.194904,1.7842093,3.2774138,1.0100398,1.3691038,1.5191851,2.6760428,1.779954,0.16020001
1.2696306,2.699462,3.610227,2.351654,5.351679,6.279149,2.7259045,1.3207545,0.46167958,1.6159413
2.5660408,2.4661646,1.7336533,1.9954226,2.7045305,0.46656302,0.3696484,0.73777837,0.5806757,1.7779176
1.5616447,0.89810133,1.228467,3.1093745,0.64818513,3.4169345,6.709693,2.4294786,1.4326957,1.6342745
1.1328968,2.1794932,2.7047913,2.476244,1.5942231,5.279554,1.2560517,1.1777214,1.8903689,3.8725004
4.3509784,0.019861113,0.925591,1.2522403,0.4448887,0.2128981,1.5074413,3.3675203,2.0926223,3.554727
0.028418705,2.9543204,1.0469596,1.5429795,6.126525,9.167804,1.077109,1.9528761,6.991769,2.5294294
5.356627,7.6490345,3.071545,2.0088153,0.033340123,0.14888047,1.4980309,0.4495537,2.5200717,4.3844137
1.7322509,1.0106418,3.7287264,5.4027314,7.173111,0.7719302,2.879495,3.5422616,1.563867,5.5496683
1.9771724,1.4262133,0.9942961,3.9510977,4.55873,1.2462485,4.726409,0.30472535,0.576788,1.0591657
1.185507,3.647173,7.052148,3.7526112,2.0433183,0.9895041,0.9515065,1.2499983,2.1245494,5.0398483
2.9193962,4.8146267,4.9755545,1.8470461,0.9358591,1.4801456,0.9108365,5.462206,5.961061,2.3182187
0.8238675,5.5361915,0.7251537,2.3058803,1.1398976,0.5010668,3.3083186,0.736854,1.1022309,0.41064146
2.4513433,5.3669567,1.0432931,4.478293,2.0550604,4.6792274,3.8209429,7.625268,3.336354,1.0318928
1.6519897,0.5273626,2.5625675,4.7394753,2.8039308,3.3891177,0.7349493,3.5702043,5.2764688,0.21532974
2.5275824,1.8139572,0.6284079,7.786784,1.1070728,0.53897226,2.1371856,2.3474727,5.3323536,2.0429618
3.4911203,0.7252566,0.029479686,0.5784474,0.927673,2.0752041,0.4555403,0.9862527,2.2115266,1.1743677
0.76486075,4.1883693,0.31634077,1.5964708,0.016598677,0.14927015,3.684133,1.8028761,1.3311822,1.1121867
0.08737862,0.80717486,1.5131418,1.3695726,0.22954464,0.7226506,2.4716418,9.138341,6.143223,6.051038
3.493082,0.692492,4.991806,2.6211474,1.6374977,2.2276247,1.6261485,1.1983533,5.1651382,0.8288913
2.6111207,1.3529794,0.59196204,0.01199972,3.8576994,1.9561882,3.7397382,8.544955,0.017474495,1.0523733
4.4183054,0.08777693,1.7037692,4.011175,2.5955505,0.5726558,1.0045536,4.747013,2.1771746,1.2664566
0.012127812,1.6069026,0.099310085,1.037425,0.2948678,1.7216504,1.7888714,2.946349,2.1196144,2.2918239
2.7460022,2.2974584,1.1016926,0.66889614,0.5892068,0.6145832,3.7031837,2.2481446,2.0299346,3.6576276
1.21092,1.8708848,0.9327398,3.5699468,4.736911,6.0101776,1.7436254,2.5197983,6.471302,0.4106555
2.5363066,0.48812902,1.1246026,0.68308485,0.09880006,2.4004183,3.5842159,3.5965385,0.02790007,5.7362785
2.3106391,3.1600556,2.8996036,0.9798612,3.265638,7.6214547,2.2874632,0.1432706,0.6505249,2.5143511
